item_id,dataset,tier,human_entropy,gold_label,n_models_flipping,models_flipping,flip_pattern,stable_label_agreement,suggested_type,gemini_flip_rate,gemini_label,mistral_flip_rate,mistral_label,llama_flip_rate,llama_label,text
mhs-25478,mhs,high,0.8113,hate,2,gemini|llama,gemini=FLIP(0.2) | mistral=stable(hate) | llama=FLIP(0.4),True,explicit_no_target,0.2,hate,0.0,hate,0.4,hate,Eat my ass white america
mhs-41169,mhs,low,0.0,not_hate,2,llama|mistral,gemini=stable(hate) | mistral=FLIP(0.4) | llama=FLIP(0.4),True,other,0.0,hate,0.4,not_hate,0.4,not_hate,"Yup, just to pedos palling up to hunt underage prey. And evangelicals support this? I wonder why...."
mhs-47683,mhs,high,0.9183,not_hate,1,gemini,gemini=FLIP(0.4) | mistral=stable(hate) | llama=stable(hate),True,political_speech,0.4,not_hate,0.0,hate,0.0,hate,"Matt Parsa ... Iran and it's supporters are digging a hole for themselves , America and its allies will make sure that Iran is buried in that hole ."
mhs-13154,mhs,high,0.9183,hate,1,gemini,gemini=FLIP(0.2) | mistral=stable(hate) | llama=stable(hate),True,explicit_no_target,0.2,hate,0.0,hate,0.0,hate,FUCK THAT BITCH
mhs-44590,mhs,high,0.9183,hate,1,gemini,gemini=FLIP(0.2) | mistral=stable(not_hate) | llama=stable(not_hate),True,explicit_no_target,0.2,hate,0.0,not_hate,0.0,not_hate,Mexico should try to be allies with China... watch how quick these white boys will lose their shit
mhs-25499,mhs,high,0.9183,not_hate,1,llama,gemini=stable(hate) | mistral=stable(not_hate) | llama=FLIP(0.4),False,other,0.0,hate,0.0,not_hate,0.4,hate,Men are trash. Go get a life
mhs-26821,mhs,high,0.9183,hate,1,mistral,gemini=stable(not_hate) | mistral=FLIP(0.4) | llama=stable(hate),False,explicit_no_target,0.0,not_hate,0.4,hate,0.0,hate,"Got her tits out in a park full of kids, Imagine a man did this, get her locked up and on the register URL"
mhs-40706,mhs,high,0.9183,hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.4),True,political_speech,0.0,not_hate,0.0,not_hate,0.4,hate,+Saghar Irani you are not understanding me! All the entities you have named are not as much of a threat to Amerikkkan citizens then the folks that are supposed to have their best interest at heart. Domestic Terrorism threatens Amerikkka more than any outside enemy.
mhs-21393,mhs,high,0.9183,hate,1,gemini,gemini=FLIP(0.4) | mistral=stable(hate) | llama=stable(hate),True,other,0.4,hate,0.0,hate,0.0,hate,@topazprada yes with all the stereotypical lipstick lesbians
mhs-10762,mhs,high,0.9183,not_hate,1,mistral,gemini=stable(not_hate) | mistral=FLIP(0.2) | llama=stable(hate),False,explicit_no_target,0.0,not_hate,0.2,not_hate,0.0,hate,Fuck this stupid woman.
mhs-41876,mhs,high,0.9183,not_hate,1,llama,gemini=stable(hate) | mistral=stable(not_hate) | llama=FLIP(0.4),False,explicit_no_target,0.0,hate,0.0,not_hate,0.4,hate,"FUCK usa, isis Only do justice"
mhs-23082,mhs,high,0.9183,not_hate,1,mistral,gemini=stable(not_hate) | mistral=FLIP(0.4) | llama=stable(hate),False,explicit_no_target,0.0,not_hate,0.4,not_hate,0.0,hate,@KimChi_Chic I would NOT lick a straight mans asshole. They don't take care of that shit carefully enough.
mhs-44820,mhs,high,0.9183,hate,1,gemini,gemini=FLIP(0.4) | mistral=stable(not_hate) | llama=stable(hate),False,explicit_no_target,0.4,not_hate,0.0,not_hate,0.0,hate,The us is a shit country ive lived there trash everywhere paroanoid people a shit hold
mhs-41534,mhs,high,0.8113,not_hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.3333),True,other,0.0,not_hate,0.0,not_hate,0.3333,hate,Keeps your religious extremism to yourself
mhs-41437,mhs,high,0.8113,not_hate,1,gemini,gemini=FLIP(0.2) | mistral=stable(hate) | llama=stable(hate),True,irony_humour,0.2,not_hate,0.0,hate,0.0,hate,you don't want a black dude? fine here's a black women. LOL
mhs-21718,mhs,high,0.8113,hate,1,mistral,gemini=stable(hate) | mistral=FLIP(0.2) | llama=stable(hate),True,political_speech,0.0,hate,0.2,not_hate,0.0,hate,@rarply @sansdn Besides you don't peg anyone down. I am a nobody really. As are you. Your obsession about my morals & out of that comes your bitter personal attack show how mentally troubled you really are. And this is probably a collective mental affliction affecting all of Arab Muslim world.
mhs-20036,mhs,medium,0.7642,not_hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.4),True,other,0.0,not_hate,0.0,not_hate,0.4,not_hate,@blackrepublican how long after the name change will al memorabilia w/redskins name be deemed racist and therby illegal?
mhs-44911,mhs,medium,0.7219,not_hate,1,llama,gemini=stable(hate) | mistral=stable(hate) | llama=FLIP(0.4),True,political_speech,0.0,hate,0.0,hate,0.4,not_hate,"Deport 'em all, and build the wall. Even so, come, Lord Jesus!"
mhs-37785,mhs,medium,0.7219,not_hate,1,gemini,gemini=FLIP(0.4) | mistral=stable(hate) | llama=stable(hate),True,political_speech,0.4,not_hate,0.0,hate,0.0,hate,@realDonaldTrump NOT AN IMMIGRANT DOING YOUR KILLING KIM JUNG ORANGE. ITS ALL WHITE MALES. BUT HERE YOU GO AGAIN. BEGGING FOR MORE AMERICANS TO BE KILLED
mhs-49021,mhs,medium,0.7219,not_hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.4),True,other,0.0,not_hate,0.0,not_hate,0.4,not_hate,"Dubai is the wrong place to film such a video. I wonder how much she got for using the Dubai hashtag. UAE, get your human rights straight before pretending to be modern and civilised. #nodubaiforme"
mhs-47793,mhs,medium,0.7219,not_hate,1,llama,gemini=stable(hate) | mistral=stable(not_hate) | llama=FLIP(0.4),False,other,0.0,hate,0.0,not_hate,0.4,hate,+Joe Parmer no never. Israeli dual citizens in our government are taking America to war to fight their enemies.
mhs-32839,mhs,medium,0.7219,not_hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.4),True,irony_humour,0.0,not_hate,0.0,not_hate,0.4,not_hate,"Women are meant to be loved and not to be understood, how do you hope to understand a creature that was created while you were asleep? 😂😂😂 #chaturbate #xnxx URL"
mhs-23353,mhs,medium,0.7219,not_hate,1,llama,gemini=stable(hate) | mistral=stable(not_hate) | llama=FLIP(0.4),False,explicit_no_target,0.0,hate,0.0,not_hate,0.4,hate,"Your man always got home late from work, you were so proud of him working late he is such a good provider. Little did you know he was stopping of at the local cruising spot and getting his ass filled with spunk before coming home. No names, no talking just cum in his ass! URL"
mhs-20037,mhs,medium,0.5725,not_hate,1,llama,gemini=stable(hate) | mistral=stable(not_hate) | llama=FLIP(0.4),False,other,0.0,hate,0.0,not_hate,0.4,hate,A black person Acting scared of harmless Animals Just because..... What's new Dramatics are their specialty
mhs-20024,mhs,medium,0.407,not_hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.4),True,other,0.0,not_hate,0.0,not_hate,0.4,hate,"Yes, in barbaric, authoritarian cultures that have since been condemned. Interesting that Christians desire to perpetuate the same idea."
mhs-20053,mhs,medium,0.3171,not_hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.4),True,political_speech,0.0,not_hate,0.0,not_hate,0.4,not_hate,"No, the chances of a muslim shooting you in America is almost nil. There are over 50K gun deaths every year christian USA. We should be focusing our attention on Christians and less on peace loving Muslims."
mhs-20052,mhs,medium,0.2963,not_hate,1,mistral,gemini=stable(not_hate) | mistral=FLIP(0.4) | llama=stable(not_hate),True,other,0.0,not_hate,0.4,hate,0.0,not_hate,"It's just really pointless and insulting to people who actually experience racism by implying our society is in need of a reminder that being a white person is okay. Because I doubt one genuine look at history would leave anyone wondering if ""being white"" in the U.S. will be perceived as a problem.  The very concept of on a personal level being okay with the fact you were born with the skin color you were born with is of course not racist. But the statement just makes it seem like white people are at risk to become some sort of outcasts."
mhs-20046,mhs,medium,0.2399,not_hate,1,mistral,gemini=stable(not_hate) | mistral=FLIP(0.4) | llama=stable(hate),False,other,0.0,not_hate,0.4,hate,0.0,hate,"Men are still ten times more likely to die on the job. As we get more ""equality"", I don't see women taking dangerous jobs from men. Women are taking safe jobs from men so even more men will die on the job. If we were to have a another Vietnam (60,000 killed), 97% will be men. Men die earlier than women, but spending on woman's healthcare research (breast, ovarian cancer etc.) is four (4) times greater than the sending on mens healthcare research (prostate, testicular cancer etc.). The list goes on."
mhs-19233,mhs,low,0.0,not_hate,1,llama,gemini=stable(not_hate) | mistral=stable(hate) | llama=FLIP(0.4),False,political_speech,0.0,not_hate,0.0,hate,0.4,not_hate,"You go like -50 for using basic statistics to disprove their ""All shooting are done by Caucasian white supremacists"" narriative"
mhs-10165,mhs,low,0.0,hate,1,llama,gemini=stable(hate) | mistral=stable(not_hate) | llama=FLIP(0.4),False,other,0.0,hate,0.0,not_hate,0.4,hate,So... are Polack jokes back on the table?
mhs-12990,mhs,low,0.0,not_hate,1,gemini,gemini=FLIP(0.2) | mistral=stable(hate) | llama=stable(hate),True,explicit_no_target,0.2,not_hate,0.0,hate,0.0,hate,I would rip those apart and implant my fat dick in her nice pussy
mhs-22168,mhs,low,0.0,not_hate,1,mistral,gemini=stable(not_hate) | mistral=FLIP(0.4) | llama=stable(not_hate),True,explicit_no_target,0.0,not_hate,0.4,not_hate,0.0,not_hate,@IKeepItChillD @NewJersey973 Grown ass men going back and forth about a woman's look. You hate to see it.
mhs-16156,mhs,low,0.0,not_hate,1,llama,gemini=stable(hate) | mistral=stable(hate) | llama=FLIP(0.4),True,other,0.0,hate,0.0,hate,0.4,hate,I love how women are oppressed by an ancient evil ideology
mhs-22449,mhs,low,0.0,hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.4),True,irony_humour,0.0,not_hate,0.0,not_hate,0.4,not_hate,"""DaBaby"" finna become a verb😂😂  I'm finna DaBaby a nigga rn 😤"
mhs-599,mhs,low,0.0,not_hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.4),True,other,0.0,not_hate,0.0,not_hate,0.4,not_hate,Jamaican is great. I also think women with NY accents are hot as hell
mhs-44276,mhs,low,0.0,not_hate,1,llama,gemini=stable(hate) | mistral=stable(not_hate) | llama=FLIP(0.4),False,other,0.0,hate,0.0,not_hate,0.4,not_hate,As part of Iranian law being homosexual is banned and punishable by death so it wouldn't be murder rather execution
mhs-6510,mhs,low,0.0,not_hate,1,llama,gemini=stable(not_hate) | mistral=stable(not_hate) | llama=FLIP(0.4),True,explicit_no_target,0.0,not_hate,0.0,not_hate,0.4,hate,"I'm subscribed so that I can see stupid shit Americans say, and then see stupid shit Europeans say in response as well. Great reminder that everyone is shit :D"
