item_id,model_name,n_runs,llm_flip_rate,llm_output_entropy,human_entropy,human_disagreement_var,disagreement_tier,dataset
mhs-47777,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-39773,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-47101,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-43625,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-11001,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-13168,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-17034,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-40171,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-1006,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-23643,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-20583,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-29527,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-23016,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-22819,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-36534,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-7287,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-32074,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-46526,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-30683,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-15758,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-14868,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-11817,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-1323,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-38126,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-26362,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-5410,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-33729,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-47480,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-10694,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-43341,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-37291,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-11121,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-38307,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-19352,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-24301,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-886,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-32374,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-25790,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-5611,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-44643,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-31537,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-20844,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-42490,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-1402,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-41581,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-48081,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-12449,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-44768,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-13741,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-25323,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-6831,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-43075,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-48594,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-16311,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-48957,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.8112781244591328,0.5,high,mhs
mhs-38719,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-42107,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-41025,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-34714,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,1.0,0.6666666666666666,high,mhs
mhs-48242,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.0,0.0,low,mhs
mhs-26845,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
mhs-24948,Hate-speech-CNERG/bert-base-uncased-hatexplain,1,0.0,0.0,0.9182958340544896,0.6666666666666666,high,mhs
