item_id,model_name,n_runs,llm_flip_rate,llm_output_entropy,human_entropy,human_disagreement_var,disagreement_tier,dataset
mhs-36974,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-32851,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-18181,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-13435,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-4956,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-26480,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-9146,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-37052,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-48336,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-36823,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-11736,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-19233,llama-3.1-8b-instant,5,0.4,0.971,0.0,0.0,low,mhs
mhs-30701,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-45629,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-6324,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-48539,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-46405,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-14032,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-5367,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-21147,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-26237,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-24369,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-5333,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-11343,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-7717,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-39456,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-5261,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-22919,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-41169,llama-3.1-8b-instant,5,0.4,0.971,0.0,0.0,low,mhs
mhs-40740,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-6811,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-17544,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-13042,llama-3.1-8b-instant,3,0.0,0.0,0.0,0.0,low,mhs
mhs-45028,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-36391,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-16271,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-45423,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-9348,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-46234,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-10165,llama-3.1-8b-instant,5,0.4,0.971,0.0,0.0,low,mhs
mhs-14382,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-47733,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-12990,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-32744,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-22396,llama-3.1-8b-instant,4,0.0,0.0,0.0,0.0,low,mhs
mhs-22168,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-22705,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-23747,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-40086,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-3676,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-23206,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-16156,llama-3.1-8b-instant,5,0.4,0.971,0.0,0.0,low,mhs
mhs-19478,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-29285,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-22449,llama-3.1-8b-instant,5,0.4,0.971,0.0,0.0,low,mhs
mhs-599,llama-3.1-8b-instant,5,0.4,0.971,0.0,0.0,low,mhs
mhs-7950,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-37531,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-44276,llama-3.1-8b-instant,5,0.4,0.971,0.0,0.0,low,mhs
mhs-49892,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-20929,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-714,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-6510,llama-3.1-8b-instant,5,0.4,0.971,0.0,0.0,low,mhs
mhs-48768,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-15084,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-4436,llama-3.1-8b-instant,5,0.0,0.0,0.0,0.0,low,mhs
mhs-20027,llama-3.1-8b-instant,5,0.0,0.0,0.5694060040068407,0.23331304524244267,medium,mhs
mhs-44911,llama-3.1-8b-instant,5,0.4,0.971,0.7219280948873623,0.4,medium,mhs
mhs-22834,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-37785,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-48215,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-20022,llama-3.1-8b-instant,5,0.0,0.0,0.1494377948736296,0.04200899282866496,medium,mhs
mhs-20005,llama-3.1-8b-instant,5,0.0,0.0,0.7212564460523054,0.3201342281879195,medium,mhs
mhs-49815,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-13487,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-32074,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-20035,llama-3.1-8b-instant,5,0.0,0.0,0.40007730712271167,0.14656247299482736,medium,mhs
mhs-49021,llama-3.1-8b-instant,5,0.4,0.971,0.7219280948873623,0.4,medium,mhs
mhs-14327,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-8223,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-42558,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-47793,llama-3.1-8b-instant,5,0.4,0.971,0.7219280948873623,0.4,medium,mhs
mhs-20046,llama-3.1-8b-instant,5,0.0,0.0,0.23987382528036544,0.07603110679072352,medium,mhs
mhs-20062,llama-3.1-8b-instant,5,0.0,0.0,0.061927388911559245,0.014408615721166992,medium,mhs
mhs-48002,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-20016,llama-3.1-8b-instant,5,0.0,0.0,0.43754563368045474,0.16454113528382094,medium,mhs
mhs-46079,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-4474,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-20042,llama-3.1-8b-instant,5,0.0,0.0,0.303730152779897,0.1027451618811176,medium,mhs
mhs-13827,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-20032,llama-3.1-8b-instant,5,0.0,0.0,0.7587981080917867,0.34327823257014234,medium,mhs
mhs-20036,llama-3.1-8b-instant,5,0.4,0.971,0.7642045065086203,0.34710743801652894,medium,mhs
mhs-15175,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-32543,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
mhs-20030,llama-3.1-8b-instant,5,0.0,0.0,0.3571646347421422,0.1264971473910908,medium,mhs
mhs-20059,llama-3.1-8b-instant,5,0.0,0.0,0.07876627606249546,0.019229217653228627,medium,mhs
mhs-24071,llama-3.1-8b-instant,5,0.0,0.0,0.7219280948873623,0.4,medium,mhs
